Region,Year,Type,Enrollment,Level,Sex,Number
Greater Accra,2012-2013,Public,Full-Time,Intermediate,Male," 2,262 "
Greater Accra,2012-2013,Public,Full-Time,Intermediate,Female,996 
Greater Accra,2012-2013,Public,Full-Time,Advanced,Male,7 
Greater Accra,2012-2013,Public,Full-Time,Advanced,Female,31 
Greater Accra,2012-2013,Public,Full-Time,Technician,Male,337 
Greater Accra,2012-2013,Public,Full-Time,Technician,Female,87 
Greater Accra,2012-2013,Private,Full-Time,Intermediate,Male," 1,393 "
Greater Accra,2012-2013,Private,Full-Time,Intermediate,Female,219 
Greater Accra,2012-2013,Private,Full-Time,Advanced,Male,NA
Greater Accra,2012-2013,Private,Full-Time,Advanced,Female,NA
Greater Accra,2012-2013,Private,Full-Time,Technician,Male,NA
Greater Accra,2012-2013,Private,Full-Time,Technician,Female,NA
Greater Accra,2012-2013,Public,Part-Time,Intermediate,Male,459 
Greater Accra,2012-2013,Public,Part-Time,Intermediate,Female,3 
Greater Accra,2012-2013,Public,Part-Time,Advanced,Male,NA
Greater Accra,2012-2013,Public,Part-Time,Advanced,Female,NA
Greater Accra,2012-2013,Public,Part-Time,Technician,Male,NA
Greater Accra,2012-2013,Public,Part-Time,Technician,Female,NA
Greater Accra,2012-2013,Private,Part-Time,Intermediate,Male,0 
Greater Accra,2012-2013,Private,Part-Time,Intermediate,Female,23 
Greater Accra,2012-2013,Private,Part-Time,Advanced,Male,NA
Greater Accra,2012-2013,Private,Part-Time,Advanced,Female,NA
Greater Accra,2012-2013,Private,Part-Time,Technician,Male,NA
Greater Accra,2012-2013,Private,Part-Time,Technician,Female,NA
